M0,H,T,Loss
singleESN [B],2,7,6.08729611436489e-06
singleESN [B],2,8,2.865749198241334e-07
singleESN [B],2,9,3.9456025825274764e-06
singleESN [B],2,10,9.170435397444749e-05
singleESN [B],2,11,1.6648957788041354e-07
singleESN [B],2,12,5.703902732767412e-05
singleESN [B],2,13,1.5929429383480628e-05
singleESN [B],2,14,9.644385308981334e-07
singleESN [B],2,15,6.802487238991339e-06
singleESN [B],2,16,2.9329922626462046e-05
singleESN [B],2,17,3.6827819445605336e-05
singleESN [B],2,18,2.1904194864903643e-06
singleESN [B],2,19,3.328940939527567e-05
singleESN [B],2,20,5.222543431922971e-07
singleESN [B],2,21,6.462431031744419e-09
singleESN [B],2,22,0.00011381886158705755
singleESN [B],2,23,3.130988949234389e-05
singleESN [B],2,24,1.9476633807395647e-05
singleESN [B],2,25,7.220940142504789e-06
singleESN [B],2,26,8.709563198479803e-07
singleESN [B],2,27,1.9107849441398706e-06
singleESN [B],2,28,1.5485492749065663e-05
singleESN [B],2,29,3.2524840731891076e-05
singleESN [B],2,30,1.6675567539744562e-06
singleESN [B],2,31,1.717104069464782e-05
singleESN [B],2,32,1.3810697950702838e-06
singleESN [B],2,33,4.857218768651274e-06
singleESN [B],2,34,6.000667176867661e-06
singleESN [B],2,35,2.483332894069028e-06
singleESN [B],2,36,3.902851692337088e-12
singleESN [B],2,37,4.8253042783609545e-06
singleESN [B],2,38,1.9219952899969247e-07
singleESN [B],2,39,1.3110875775677573e-06
singleESN [B],3,0,0.000854206702281653
singleESN [B],3,1,0.00035645866146498596
singleESN [B],3,2,7.830727219163567e-05
singleESN [B],3,3,1.2545371708566053e-05
singleESN [B],3,4,1.2030636644123931e-05
singleESN [B],3,5,4.6955134424493286e-06
singleESN [B],3,6,6.120692617036861e-06
singleESN [B],3,7,2.974362453587782e-07
singleESN [B],3,8,3.897356967391832e-06
singleESN [B],3,9,9.156608913177818e-05
singleESN [B],3,10,1.590449544880961e-07
singleESN [B],3,11,5.6917085608300516e-05
singleESN [B],3,12,1.598285472289648e-05
singleESN [B],3,13,9.793758504626983e-07
singleESN [B],3,14,6.802516013704075e-06
singleESN [B],3,15,2.9249169222752907e-05
singleESN [B],3,16,3.670553536059657e-05
singleESN [B],3,17,2.2016572593651933e-06
singleESN [B],3,18,3.3213561584145935e-05
singleESN [B],3,19,5.316182787913748e-07
singleESN [B],3,20,4.860128305828944e-09
singleESN [B],3,21,0.00011372019736147291
singleESN [B],3,22,3.139840078544563e-05
singleESN [B],3,23,1.95883528539621e-05
singleESN [B],3,24,7.166798986945979e-06
singleESN [B],3,25,8.901764672565869e-07
singleESN [B],3,26,1.886448997396655e-06
singleESN [B],3,27,1.5429721211761133e-05
singleESN [B],3,28,3.24340580184215e-05
singleESN [B],3,29,1.6433501374661467e-06
singleESN [B],3,30,1.7117154462513146e-05
singleESN [B],3,31,1.3529253172285645e-06
singleESN [B],3,32,4.841376988250139e-06
singleESN [B],3,33,5.991729091897066e-06
singleESN [B],3,34,2.476433825089985e-06
singleESN [B],3,35,1.0102152086509903e-10
singleESN [B],3,36,4.856233631791373e-06
singleESN [B],3,37,1.9648110025508542e-07
singleESN [B],3,38,1.3189429124412281e-06
singleESN [B],3,39,5.512827792924789e-06
singleESN [B],4,0,0.0003564913243432602
singleESN [B],4,1,7.830716450862517e-05
singleESN [B],4,2,1.255041069256879e-05
singleESN [B],4,3,1.2024545113867642e-05
singleESN [B],4,4,4.696982555428417e-06
singleESN [B],4,5,6.1263164907737235e-06
singleESN [B],4,6,2.9827981430575937e-07
singleESN [B],4,7,3.892871895486628e-06
singleESN [B],4,8,9.153975966643487e-05
singleESN [B],4,9,1.5838969551940196e-07
singleESN [B],4,10,5.690127229499383e-05
singleESN [B],4,11,1.5990201266129774e-05
singleESN [B],4,12,9.809061894295627e-07
singleESN [B],4,13,6.797983043442363e-06
singleESN [B],4,14,2.9249077134268408e-05
singleESN [B],4,15,3.6695361776986014e-05
singleESN [B],4,16,2.2050130922881984e-06
