M0,H,T,Loss
MIDAS,0,16,-0.0036146421359137568
MIDAS,0,17,1.9179543555820824e-05
MIDAS,0,18,0.0018843147823115062
MIDAS,0,19,-0.0011186474277293554
MIDAS,0,20,0.0003828868150878347
MIDAS,0,21,-0.001870732962326703
MIDAS,0,22,-0.0008293332221708501
MIDAS,0,23,-0.005734224805176063
MIDAS,1,0,0.0055210907235762755
MIDAS,1,1,0.009511416273812343
MIDAS,1,2,0.0036727527579186806
MIDAS,1,3,-0.0022077124301353983
MIDAS,1,4,0.008296855991821794
MIDAS,1,5,0.0010542729955231676
MIDAS,1,6,-0.0003095000816614466
MIDAS,1,7,0.013348758950800925
MIDAS,1,8,-0.006205172302937662
MIDAS,1,9,-0.004913390293303696
MIDAS,1,10,0.0077263819957635385
MIDAS,1,11,-0.0016810825097419869
MIDAS,1,12,0.0021030534812299393
MIDAS,1,13,0.004762497583543903
MIDAS,1,14,0.005525783310568527
MIDAS,1,15,0.0008593020954722535
MIDAS,1,16,0.002096379070955308
MIDAS,1,17,0.0014770618535780468
MIDAS,1,18,0.0016919171555341466
MIDAS,1,19,0.0006171413557120734
MIDAS,1,20,0.0004958659573853505
MIDAS,1,21,-0.001545905757150288
MIDAS,1,22,-0.003256651311241732
MIDAS,1,23,-0.003087427041240454
MIDAS,2,0,0.005945640567396319
MIDAS,2,1,0.009680589427897223
MIDAS,2,2,0.0008504225417498307
MIDAS,2,3,0.006367017204238656
MIDAS,2,4,-0.0008943528217377986
MIDAS,2,5,-0.000940971292677761
MIDAS,2,6,0.011815912623674272
MIDAS,2,7,-0.007026515949639704
MIDAS,2,8,-0.005478397211735117
MIDAS,2,9,0.0033750107116232945
MIDAS,2,10,-0.0009839005584768457
MIDAS,2,11,0.004779567438629717
MIDAS,2,12,0.00690761900480966
MIDAS,2,13,0.006807062828634684
MIDAS,2,14,0.0021649648983869283
MIDAS,2,15,0.00482132628831408
MIDAS,2,16,0.0011213000880773384
MIDAS,2,17,0.0013484175932957513
MIDAS,2,18,0.0016393668434979943
MIDAS,2,19,0.00010801823705343556
MIDAS,2,20,-0.002217197205176046
MIDAS,2,21,-0.0014120687856090542
MIDAS,2,22,4.118822631453585e-05
MIDAS,2,23,-0.002823404359963479
MIDAS,3,0,0.009177111873603726
MIDAS,3,1,-0.00026936783280942685
MIDAS,3,2,0.00971343494895209
MIDAS,3,3,0.00015546716313951867
MIDAS,3,4,0.004052565097511258
MIDAS,3,5,0.010278896447980553
MIDAS,3,6,-0.006414825351327003
MIDAS,3,7,-0.001467384297788931
MIDAS,3,8,0.004265358313090677
MIDAS,3,9,0.00016496084941747778
MIDAS,3,10,0.0040223846122332185
MIDAS,3,11,0.0042735037788011795
MIDAS,3,12,0.00942169022932308
MIDAS,3,13,0.003945725664968179
